Team,Region,Odds To Make Round of 32,Public,% Diff,Adjusted % Diff,Odds To Make Sweet 16,Public,% Diff,Adjusted % Diff,Odds To Make Elite 8,Public,% Diff,Adjusted % Diff,Odds To Make Final 4,Public,% Diff,Adjusted % Diff,Odds To Make Championship,Public,% Diff,Adjusted % Diff,To Win Tournament,Public,% Diff,Adjusted % Diff
16 Longwood,South,2.80%,2.00%,0.80%,2.24%,0.30%,0.80%,-0.50%,-0.15%,0.00%,0.50%,-0.50%,0.00%,0.00%,0.30%,-0.30%,0.00%,0.00%,0.20%,-0.20%,0.00%,0.00%,0.10%,-0.10%,0.00%
14 Colgate,West,11.50%,5.90%,5.60%,64.40%,1.60%,1.80%,-0.20%,-0.32%,0.20%,0.40%,-0.20%,-0.04%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16 Stetson,East,0.50%,1.60%,-1.10%,-0.55%,0.00%,0.70%,-0.70%,0.00%,0.00%,0.40%,-0.40%,0.00%,0.00%,0.20%,-0.20%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%
3 Illinois,East,90.00%,93.10%,-3.10%,-279.00%,54.80%,73.70%,-18.90%,-1035.72%,27.50%,33.70%,-6.20%,-170.50%,8.90%,8.20%,0.70%,6.23%,4.30%,4.00%,0.30%,1.29%,1.80%,1.90%,-0.10%,-0.18%
7 Florida,South,45.20%,78.40%,-33.20%,-1500.64%,15.80%,21.40%,-5.60%,-88.48%,6.20%,7.10%,-0.90%,-5.58%,2.00%,2.20%,-0.20%,-0.40%,0.70%,0.80%,-0.10%,-0.07%,0.20%,0.40%,-0.20%,-0.04%
11 NC State,South,34.10%,47.60%,-13.50%,-460.35%,11.60%,13.80%,-2.20%,-25.52%,3.90%,5.60%,-1.70%,-6.63%,1.10%,1.90%,-0.80%,-0.88%,0.30%,0.80%,-0.50%,-0.15%,0.10%,0.40%,-0.30%,-0.03%
4 Kansas,Midwest,75.70%,84.60%,-8.90%,-673.73%,37.90%,46.60%,-8.70%,-329.73%,14.50%,17.20%,-2.70%,-39.15%,6.80%,8.90%,-2.10%,-14.28%,2.90%,4.00%,-1.10%,-3.19%,1.10%,1.40%,-0.30%,-0.33%
3 Kentucky,South,92.70%,95.90%,-3.20%,-296.64%,55.20%,71.60%,-16.40%,-905.28%,28.70%,42.80%,-14.10%,-404.67%,12.90%,19.60%,-6.70%,-86.43%,6.10%,9.90%,-3.80%,-23.18%,2.50%,4.00%,-1.50%,-3.75%
1 Houston,South,97.20%,98.00%,-0.80%,-77.76%,67.60%,86.00%,-18.40%,-1243.84%,45.70%,65.20%,-19.50%,-891.15%,29.90%,44.40%,-14.50%,-433.55%,18.40%,27.90%,-9.50%,-174.80%,10.00%,12.30%,-2.30%,-23.00%
16 HOW/WAG,West,2.50%,1.50%,1.00%,2.50%,0.10%,0.60%,-0.50%,-0.05%,0.00%,0.40%,-0.40%,0.00%,0.00%,0.30%,-0.30%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%
1 Connecticut,East,99.50%,98.40%,1.10%,109.45%,85.10%,93.60%,-8.50%,-723.35%,61.30%,78.40%,-17.10%,-1048.23%,45.70%,62.10%,-16.40%,-749.48%,33.10%,46.20%,-13.10%,-433.61%,22.60%,30.70%,-8.10%,-183.06%
