Team,Region,Odds To Make Round of 32,Public,% Diff,Adjusted % Diff,Odds To Make Sweet 16,Public,% Diff,Adjusted % Diff,Odds To Make Elite 8,Public,% Diff,Adjusted % Diff,Odds To Make Final 4,Public,% Diff,Adjusted % Diff,Odds To Make Championship,Public,% Diff,Adjusted % Diff,To Win Tournament,Public,% Diff,Adjusted % Diff
6 S Carolina,Midwest,51.70%,55.80%,-4.10%,-211.97%,13.90%,17.10%,-3.20%,-44.48%,2.80%,5.20%,-2.40%,-6.72%,0.40%,1.80%,-1.40%,-0.56%,0.20%,0.60%,-0.40%,-0.08%,0.10%,0.20%,-0.10%,-0.01%
12 McNeese St,Midwest,21.60%,23.10%,-1.50%,-32.40%,7.70%,11.50%,-3.80%,-29.26%,1.30%,2.20%,-0.90%,-1.17%,0.30%,0.50%,-0.20%,-0.06%,0.20%,0.10%,0.10%,0.02%,0.00%,0.10%,-0.10%,0.00%
14 Akron,Midwest,11.50%,6.50%,5.00%,57.50%,4.10%,1.60%,2.50%,10.25%,0.70%,0.40%,0.30%,0.21%,0.10%,0.20%,-0.10%,-0.01%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
8 Utah St,Midwest,30.50%,41.80%,-11.30%,-344.65%,2.90%,4.40%,-1.50%,-4.35%,0.50%,1.70%,-1.20%,-0.60%,0.10%,0.50%,-0.40%,-0.04%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
11 NC State,South,37.60%,47.60%,-10.00%,-376.00%,12.90%,13.80%,-0.90%,-11.61%,3.70%,5.60%,-1.90%,-7.03%,0.80%,1.90%,-1.10%,-0.88%,0.20%,0.80%,-0.60%,-0.12%,0.00%,0.40%,-0.40%,0.00%
13 Samford,Midwest,18.50%,15.40%,3.10%,57.35%,3.20%,3.40%,-0.20%,-0.64%,0.30%,0.60%,-0.30%,-0.09%,0.00%,0.20%,-0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
15 St Peters,Midwest,1.30%,4.90%,-3.60%,-4.68%,0.00%,2.00%,-2.00%,0.00%,0.00%,0.80%,-0.80%,0.00%,0.00%,0.30%,-0.30%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%
15 Lg Beach St,West,3.20%,3.50%,-0.30%,-0.96%,0.40%,1.50%,-1.10%,-0.44%,0.00%,0.60%,-0.60%,0.00%,0.00%,0.20%,-0.20%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
16 MTST/GRAM,Midwest,2.00%,1.90%,0.10%,0.20%,0.30%,0.70%,-0.40%,-0.12%,0.00%,0.40%,-0.40%,0.00%,0.00%,0.30%,-0.30%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
2 Marquette,South,87.50%,95.60%,-8.10%,-708.75%,48.40%,74.10%,-25.70%,-1243.88%,24.60%,37.60%,-13.00%,-319.80%,7.70%,14.40%,-6.70%,-51.59%,2.30%,6.40%,-4.10%,-9.43%,0.80%,2.20%,-1.40%,-1.12%
3 Kentucky,South,92.20%,95.90%,-3.70%,-341.14%,56.10%,71.60%,-15.50%,-869.55%,32.80%,42.80%,-10.00%,-328.00%,13.00%,19.60%,-6.60%,-85.80%,4.70%,9.90%,-5.20%,-24.44%,1.20%,4.00%,-2.80%,-3.36%
1 Houston,South,96.50%,98.00%,-1.50%,-144.75%,74.50%,86.00%,-11.50%,-856.75%,48.40%,65.20%,-16.80%,-813.12%,35.40%,44.40%,-9.00%,-318.60%,20.30%,27.90%,-7.60%,-154.28%,10.50%,12.30%,-1.80%,-18.90%
16 HOW/WAG,West,2.50%,1.50%,1.00%,2.50%,0.10%,0.60%,-0.50%,-0.05%,0.00%,0.40%,-0.40%,0.00%,0.00%,0.30%,-0.30%,0.00%,0.00%,0.10%,-0.10%,0.00%,0.00%,0.10%,-0.10%,0.00%
1 Connecticut,East,97.70%,98.40%,-0.70%,-68.39%,81.30%,93.60%,-12.30%,-999.99%,57.70%,78.40%,-20.70%,-1194.39%,43.10%,62.10%,-19.00%,-818.90%,33.20%,46.20%,-13.00%,-431.60%,23.40%,30.70%,-7.30%,-170.82%
